report_day,closed_at,close_reason,kg_total_sum,active_hours_count,active_runtime_hours,hourly_breakdown
2026-04-08,2026-04-09T00:00:00,day-rollover,1033.661744,2,0.44,00:0.000 | 01:0.000 | 02:0.000 | 03:0.000 | 04:0.000 | 05:0.000 | 06:0.000 | 07:0.000 | 08:0.000 | 09:0.000 | 10:0.000 | 11:0.000 | 12:0.000 | 13:0.000 | 14:0.000 | 15:0.000 | 16:754.152 | 17:279.510 | 18:0.000 | 19:0.000 | 20:0.000 | 21:0.000 | 22:0.000 | 23:0.000
2026-04-09,2026-04-10T00:00:00,day-rollover,13202.669047,12,6.188889,00:0.000 | 01:0.000 | 02:0.000 | 03:0.000 | 04:0.000 | 05:0.000 | 06:241.810 | 07:988.765 | 08:1154.219 | 09:1099.710 | 10:1308.217 | 11:1494.754 | 12:1866.999 | 13:1235.267 | 14:972.914 | 15:1206.674 | 16:1625.226 | 17:8.114 | 18:0.000 | 19:0.000 | 20:0.000 | 21:0.000 | 22:0.000 | 23:0.000
