report_day,closed_at,close_reason,kg_total_sum,active_hours_count,active_runtime_hours,hourly_breakdown
2026-04-08,2026-04-09T00:00:00,day-rollover,3605.94254,2,0.552222,00:0.000 | 01:0.000 | 02:0.000 | 03:0.000 | 04:0.000 | 05:0.000 | 06:0.000 | 07:0.000 | 08:0.000 | 09:0.000 | 10:0.000 | 11:0.000 | 12:0.000 | 13:0.000 | 14:0.000 | 15:0.000 | 16:2610.981 | 17:994.961 | 18:0.000 | 19:0.000 | 20:0.000 | 21:0.000 | 22:0.000 | 23:0.000
2026-04-09,2026-04-10T00:00:00,day-rollover,42860.644639,12,5.975556,00:0.000 | 01:0.000 | 02:0.000 | 03:0.000 | 04:0.000 | 05:0.000 | 06:1121.299 | 07:4202.295 | 08:3847.884 | 09:4625.612 | 10:4606.773 | 11:4069.957 | 12:4494.257 | 13:4368.963 | 14:2760.623 | 15:4201.164 | 16:3953.607 | 17:608.209 | 18:0.000 | 19:0.000 | 20:0.000 | 21:0.000 | 22:0.000 | 23:0.000
