report_day,closed_at,close_reason,kg_total_sum,active_hours_count,active_runtime_hours,hourly_breakdown
2026-04-08,2026-04-09T00:00:00,day-rollover,931.4054,8,7.198056,00:0.000 | 01:0.000 | 02:0.000 | 03:0.000 | 04:0.000 | 05:0.000 | 06:0.000 | 07:0.000 | 08:0.000 | 09:0.000 | 10:0.000 | 11:0.000 | 12:0.000 | 13:0.000 | 14:0.000 | 15:0.000 | 16:57.814 | 17:113.645 | 18:126.622 | 19:126.622 | 20:126.658 | 21:126.586 | 22:126.729 | 23:126.729
2026-04-09,2026-04-10T00:00:00,day-rollover,2159.635464,18,12.469444,00:126.694 | 01:124.759 | 02:126.622 | 03:126.550 | 04:126.658 | 05:126.658 | 06:146.190 | 07:228.944 | 08:213.901 | 09:159.433 | 10:93.846 | 11:88.759 | 12:160.542 | 13:77.909 | 14:62.859 | 15:85.405 | 16:83.172 | 17:0.736 | 18:0.000 | 19:0.000 | 20:0.000 | 21:0.000 | 22:0.000 | 23:0.000
